iso_o,iso_d,year,FLOW,SOURCE_TF,XPTOT_o,IPTOT_o,XPTOT_d,IPTOT_d
FRA,PRT,1962,1.967858e+07,DOTS_IP,2.6233582e+09,2.6569298e+09,1.5024293e+08,2.0888749e+08
FRO,PRT,1962,0.0,DOTS_IP,2.82143e+06,4.9285735e+06,1.5024293e+08,2.0888749e+08
GAB,PRT,1962,0.0,DOTS_IP,2.582144e+07,1.3857149e+07,1.5024293e+08,2.0888749e+08
GBR,PRT,1962,3.1000014e+07,DOTS_IP,3.9592876e+09,4.4772874e+09,1.5024293e+08,2.0888749e+08
GHA,PRT,1962,0.0,DOTS_IP,1.1521434e+08,1.19000056e+08,1.5024293e+08,2.0888749e+08
GIB,PRT,1962,0.0,DOTS_IP,964286.1,1.5985721e+07,1.5024293e+08,2.0888749e+08
GIN,PRT,1962,2.6785725e+06,DOTS_IP,1.7142864e+07,2.3571438e+07,1.5024293e+08,2.0888749e+08
GLP,PRT,1962,0.0,DOTS_IP,1.6022734e+07,2.0544336e+07,1.5024293e+08,2.0888749e+08
GMB,PRT,1962,0.0,DOTS_IP,3.5680088e+06,2.8928585e+06,1.5024293e+08,2.0888749e+08
GNB,PRT,1962,0.0,DOTS_IP,2.7566478e+06,4.2558945e+06,1.5024293e+08,2.0888749e+08
GNQ,PRT,1962,,,8.928575e+06,8.571432e+06,1.5024293e+08,2.0888749e+08
GRC,PRT,1962,1.2142862e+06,DOTS_IP,8.867861e+07,2.487144e+08,1.5024293e+08,2.0888749e+08
GRD,PRT,1962,0.0,DOTS_IP,1.2639541e+06,3.1914515e+06,1.5024293e+08,2.0888749e+08
GRL,PRT,1962,0.0,DOTS_IP,3.1785728e+06,9.21429e+06,1.5024293e+08,2.0888749e+08
GTM,PRT,1962,142857.2,DOTS_XP,5.2864308e+07,4.8964308e+07,1.5024293e+08,2.0888749e+08
GUF,PRT,1962,0.0,DOTS_IP,250000.11,3.07143e+06,1.5024293e+08,2.0888749e+08
GUY,PRT,1962,0.0,DOTS_IP,3.2900014e+07,2.6308264e+07,1.5024293e+08,2.0888749e+08
HKG,PRT,1962,35714.3,DOTS_IP,2.5553584e+08,4.1307165e+08,1.5024293e+08,2.0888749e+08
HND,PRT,1962,0.0,DOTS_IP,2.8571442e+07,2.8785728e+07,1.5024293e+08,2.0888749e+08
HTI,PRT,1962,20714.295,DOTS_XP,1.6750007e+07,1.3480525e+07,1.5024293e+08,2.0888749e+08
HUN,PRT,1962,0.0,DOTS_IP,2.647012e+08,2.7488202e+08,1.5024293e+08,2.0888749e+08
IDN,PRT,1962,71428.6,DOTS_IP,2.4342867e+08,2.3110726e+08,1.5024293e+08,2.0888749e+08
IND,PRT,1962,214285.81,DOTS_IP,5.0493523e+08,8.254289e+08,1.5024293e+08,2.0888749e+08
IRL,PRT,1962,71428.6,DOTS_IP,1.7730008e+08,2.726787e+08,1.5024293e+08,2.0888749e+08
IRN,PRT,1962,857143.25,DOTS_IP,3.5929693e+08,1.8592866e+08,1.5024293e+08,2.0888749e+08
IRQ,PRT,1962,8.0000035e+06,DOTS_IP,2.8052512e+08,1.2717862e+08,1.5024293e+08,2.0888749e+08
ISL,PRT,1962,464285.9,DOTS_IP,2.9928584e+07,3.1785728e+07,1.5024293e+08,2.0888749e+08
ISR,PRT,1962,71428.6,DOTS_IP,9.921433e+07,2.267501e+08,1.5024293e+08,2.0888749e+08
ITA,PRT,1962,9.428576e+06,DOTS_IP,1.6643935e+09,2.1398938e+09,1.5024293e+08,2.0888749e+08
JAM,PRT,1962,0.0,DOTS_IP,7.784646e+07,7.9607176e+07,1.5024293e+08,2.0888749e+08
JOR,PRT,1962,0.0,DOTS_IP,4.8928595e+06,4.5214304e+07,1.5024293e+08,2.0888749e+08
JPN,PRT,1962,392857.3,DOTS_IP,1.6871078e+09,1.8947508e+09,1.5024293e+08,2.0888749e+08
KEN,PRT,1962,35714.3,DOTS_XP,4.465002e+07,9.025004e+07,1.5024293e+08,2.0888749e+08
KHM,PRT,1962,0.0,DOTS_IP,1.942858e+07,3.6535732e+07,1.5024293e+08,2.0888749e+08
KIR,PRT,1962,0.0,DOTS_IP,436071.62,,1.5024293e+08,2.0888749e+08
KNA,PRT,1962,0.0,DOTS_IP,,2.500001e+06,1.5024293e+08,2.0888749e+08
KOR,PRT,1962,0.0,DOTS_IP,1.9957152e+07,1.702793e+08,1.5024293e+08,2.0888749e+08
KWT,PRT,1962,71428.6,DOTS_IP,5.1027165e+08,8.26429e+07,1.5024293e+08,2.0888749e+08
LAO,PRT,1962,0.0,DOTS_IP,175357.22,1.0496076e+07,1.5024293e+08,2.0888749e+08
LBN,PRT,1962,0.0,DOTS_IP,4.5035732e+07,1.1407862e+08,1.5024293e+08,2.0888749e+08
LBR,PRT,1962,0.0,DOTS_IP,3.635716e+07,7.0571464e+07,1.5024293e+08,2.0888749e+08
LBY,PRT,1962,0.0,DOTS_IP,5.319288e+07,7.628542e+07,1.5024293e+08,2.0888749e+08
LCA,PRT,1962,0.0,DOTS_IP,1.5920792e+06,3.4887445e+06,1.5024293e+08,2.0888749e+08
LKA,PRT,1962,71428.6,DOTS_IP,1.323572e+08,1.24000056e+08,1.5024293e+08,2.0888749e+08
LSO,PRT,1962,,,1.7857151e+06,7.1428605e+06,1.5024293e+08,2.0888749e+08
LUX,PRT,1962,407143.03,COW,,,1.5024293e+08,2.0888749e+08
MAC,PRT,1962,35714.3,DOTS_IP,6.8214315e+06,1.346072e+07,1.5024293e+08,2.0888749e+08
MAR,PRT,1962,1.5000006e+06,DOTS_IP,1.4112578e+08,1.5246435e+08,1.5024293e+08,2.0888749e+08
MDG,PRT,1962,107142.91,DOTS_IP,3.37143e+07,4.3464304e+07,1.5024293e+08,2.0888749e+08
MDV,PRT,1962,0.0,DOTS_IP,743775.3,1.1667862e+06,1.5024293e+08,2.0888749e+08
MEX,PRT,1962,1.2857149e+06,DOTS_IP,3.7249302e+08,4.1921446e+08,1.5024293e+08,2.0888749e+08
MLI,PRT,1962,0.0,DOTS_IP,3.6071445e+06,1.6428579e+07,1.5024293e+08,2.0888749e+08
MLT,PRT,1962,0.0,DOTS_IP,4.3214305e+06,2.7760726e+07,1.5024293e+08,2.0888749e+08
MMR,PRT,1962,0.0,DOTS_IP,8.971433e+07,7.7071464e+07,1.5024293e+08,2.0888749e+08
MNG,PRT,1962,0.0,DOTS_IP,,,1.5024293e+08,2.0888749e+08
MOZ,PRT,1962,1.1821434e+07,DOTS_IP,3.0643228e+07,4.6642876e+07,1.5024293e+08,2.0888749e+08
