flow_code,partner_group,value_1962_usd,value_1973_usd,absolute_change_usd,relative_change,share_1962,share_1973,share_point_change,source_quality
M,colonies,73792234.0,309642994.0,235850760.0,3.1961460876763805,0.3239803006798283,0.26915176669097635,-0.05482853398885196,selected_partner_records_not_full_world
M,eec6,40850044.0,257523040.0,216672996.0,5.30410679606612,0.17934962557041187,0.22384740660281485,0.04449778103240298,selected_partner_records_not_full_world
M,efta,111855837.0,208257874.0,96402037.0,0.8618418098288425,0.49109622706440714,0.18102452114387818,-0.31007170592052896,selected_partner_records_not_full_world
M,rest_of_world,1269542.0,375016224.0,373746682.0,294.3948935915472,0.005573846685352697,0.32597630556233065,0.32040245887697794,selected_partner_records_not_full_world
X,colonies,83098353.0,276364569.0,193266216.0,2.3257526656394742,0.46558130398192354,0.26178237425396206,-0.2037989297279615,selected_partner_records_not_full_world
X,eec6,28089806.0,107417020.0,79327214.0,2.824057026239341,0.157380838896762,0.101749231577096,-0.05563160731966599,selected_partner_records_not_full_world
X,efta,67250336.0,170745752.0,103495416.0,1.5389576046133062,0.37678844402731415,0.16173646467806874,-0.21505197934924541,selected_partner_records_not_full_world
X,rest_of_world,44516.0,501176160.0,501131644.0,11257.33767634109,0.00024941309400030237,0.47473192949087323,0.47448251639687294,selected_partner_records_not_full_world
