source_id,expected_year,source_file,source_sha256,source_file_status,licence_status,access_conditions,release_distribution_decision,release_include_source_file,release_include_metadata,release_include_derived_tables,blocking_reason
ine_external_trade_yearbook,1968,data/manual/source_documents/ine_external_trade_1968_volume_ii.pdf,71b70d6829f002f78fa0e6ba7b526a11619963f04dd59e4cfa230ab90285a17c,available,to_be_confirmed_from_source,official INE catalogue record; two-volume scan downloaded from the catalogue page,exclude_source_document_until_redistribution_rights_resolved,False,True,True,redistribution_rights_unresolved
ine_external_trade_yearbook,1969,data/manual/source_documents/ine_external_trade_1969_volume_i.pdf,1679ae77b3e2663166af36e228edba9918c6993a1ce4c98c9f005ffb07c73e09,available,to_be_confirmed_from_source,official INE catalogue record; two-volume scan downloaded from the catalogue page,exclude_source_document_until_redistribution_rights_resolved,False,True,True,redistribution_rights_unresolved
ine_external_trade_yearbook,1969,data/manual/source_documents/ine_external_trade_1969_volume_ii.pdf,823c4089001ecb1fe2ed2266d8426217feabdb97e4a59c7c889ddd45e76354c6,available,to_be_confirmed_from_source,official INE catalogue record; two-volume scan downloaded from the catalogue page,exclude_source_document_until_redistribution_rights_resolved,False,True,True,redistribution_rights_unresolved
ine_external_trade_yearbook,1970,data/manual/source_documents/ine_external_trade_1970_volume_i.pdf,465a1d41cc1ebff60c479337d6214100a2c2ebf3b1cad16b3e609408a890d454,available,to_be_confirmed_from_source,official INE public PDF downloads preserved locally; reuse terms require source attribution and licence review before redistribution,exclude_source_document_until_redistribution_rights_resolved,False,True,True,redistribution_rights_unresolved
ine_external_trade_yearbook,1970,data/manual/source_documents/ine_external_trade_1970_volume_ii.pdf,168f1d0dbe0de4bcac8c721ab99a6d8450d3fa22336f43cbfaabce2933d56cc8,available,to_be_confirmed_from_source,official INE public PDF downloads preserved locally; reuse terms require source attribution and licence review before redistribution,exclude_source_document_until_redistribution_rights_resolved,False,True,True,redistribution_rights_unresolved
ine_external_trade_yearbook,1971,data/manual/source_documents/ine_external_trade_1971_volume_i.pdf,e7804b727fb6987b1b9e76e30a2e721a3c56d9f2f095c4a9d0c9016ad53616ac,available,to_be_confirmed_from_source,official INE catalogue record; two-volume scan downloaded from the catalogue page,exclude_source_document_until_redistribution_rights_resolved,False,True,True,redistribution_rights_unresolved
ine_external_trade_yearbook,1971,data/manual/source_documents/ine_external_trade_1971_volume_ii.pdf,364d494429719c1a25daf463c912695be7163ab6c1938510a3c2d16348183237,available,to_be_confirmed_from_source,official INE catalogue record; two-volume scan downloaded from the catalogue page,exclude_source_document_until_redistribution_rights_resolved,False,True,True,redistribution_rights_unresolved
ine_external_trade_yearbook,1972,data/manual/source_documents/ine_external_trade_1972_volume_i.pdf,dd7f27d9366c76dddfa07761db6a47660b7cbcde575207686b9bd90fe90844a6,available,to_be_confirmed_from_source,official INE catalogue record; two-volume scan downloaded from the catalogue page,exclude_source_document_until_redistribution_rights_resolved,False,True,True,redistribution_rights_unresolved
ine_external_trade_yearbook,1972,data/manual/source_documents/ine_external_trade_1972_volume_ii.pdf,42b2f7736e1901eafe65bcb42ca12a5d5db6a55d1eb0a2d917286f5634affe6b,available,to_be_confirmed_from_source,official INE catalogue record; two-volume scan downloaded from the catalogue page,exclude_source_document_until_redistribution_rights_resolved,False,True,True,redistribution_rights_unresolved
ine_external_trade_yearbook,1973,data/manual/source_documents/ine_external_trade_1973_volume_i.pdf,ef13f704b430a739a258e56e080d21d930b074fe49774b6726989329a339225f,available,to_be_confirmed_from_source,official INE public PDF downloads preserved locally; reuse terms require source attribution and licence review before redistribution,exclude_source_document_until_redistribution_rights_resolved,False,True,True,redistribution_rights_unresolved
ine_external_trade_yearbook,1973,data/manual/source_documents/ine_external_trade_1973_volume_ii.pdf,b91e5dae8e39cf72479aab60521833d612cb071a610b6c8f18e830b22c712454,available,to_be_confirmed_from_source,official INE public PDF downloads preserved locally; reuse terms require source attribution and licence review before redistribution,exclude_source_document_until_redistribution_rights_resolved,False,True,True,redistribution_rights_unresolved
imf_central_banking_legislation_portugal,,data/manual/source_documents/imf_central_banking_legislation_portugal_ch013.pdf,3df5459a73b9ffeee9c08979bf43fb38e07103bc54f19a7bf667520dde87f809,available,not_specified,IMF eLibrary public PDF downloaded for source verification,exclude_source_document_until_redistribution_rights_resolved,False,True,True,redistribution_rights_unresolved
