check,status,command,source_commit,verification_scope_sha256,verification_scope_path_count,tool_version,verification_timestamp_utc,notes
format,stale_scope,poetry run ruff format --check .,7a1ecdb5c38e161d37ff0190d99017b2800e4fb8,0c8107e1c92d87db80d5e434d31699c60fa0a722bb84fdedf98792a9529ca04e,498,ruff 0.9.10,2026-08-11T08:21:43Z,verification scope fingerprint does not match current tracked content
lint,stale_scope,poetry run ruff check .,7a1ecdb5c38e161d37ff0190d99017b2800e4fb8,0c8107e1c92d87db80d5e434d31699c60fa0a722bb84fdedf98792a9529ca04e,498,ruff 0.9.10,2026-08-11T08:21:43Z,verification scope fingerprint does not match current tracked content
manifest,stale_scope,poetry run pytest tests/test_manifest.py,7a1ecdb5c38e161d37ff0190d99017b2800e4fb8,0c8107e1c92d87db80d5e434d31699c60fa0a722bb84fdedf98792a9529ca04e,498,pytest 9.1.1,2026-08-11T08:21:43Z,verification scope fingerprint does not match current tracked content
reproduction,stale_scope,poetry run peg reproduce-from-local,7a1ecdb5c38e161d37ff0190d99017b2800e4fb8,0c8107e1c92d87db80d5e434d31699c60fa0a722bb84fdedf98792a9529ca04e,498,portugal-external-growth 0.1.6,2026-08-11T08:21:43Z,verification scope fingerprint does not match current tracked content
tests,stale_scope,poetry run pytest --cov,7a1ecdb5c38e161d37ff0190d99017b2800e4fb8,0c8107e1c92d87db80d5e434d31699c60fa0a722bb84fdedf98792a9529ca04e,498,pytest 9.1.1,2026-08-11T08:21:43Z,verification scope fingerprint does not match current tracked content
typecheck,stale_scope,poetry run mypy src tests,7a1ecdb5c38e161d37ff0190d99017b2800e4fb8,0c8107e1c92d87db80d5e434d31699c60fa0a722bb84fdedf98792a9529ca04e,498,mypy 1.20.2,2026-08-11T08:21:43Z,verification scope fingerprint does not match current tracked content
validation,stale_scope,poetry run peg validate,7a1ecdb5c38e161d37ff0190d99017b2800e4fb8,0c8107e1c92d87db80d5e434d31699c60fa0a722bb84fdedf98792a9529ca04e,498,portugal-external-growth 0.1.6,2026-08-11T08:21:43Z,verification scope fingerprint does not match current tracked content
